feature,mean_importance
Volume,-6.510704615202493e-08
Prev Volume,-4.336808689942018e-19
Dividend,8.673617379884036e-20
MA20,1.7022977818592633e-05
MA5,1.7693459027691513e-05
MA10,2.5456196016526884e-05
High Price_diff_Dividend,3.246375697715702e-05
High Price,0.00013683597317047338
High Price_sum_Open Price,0.000215154704463507
Dividend_sum_High Price,0.00043074367482393624
High Price_multiply_Open Price,0.0009390787149246356
Low Price_sum_High Price,0.002744673635056217
Close Price_multiply_Open Price,0.0027670229544094127
Low Price_multiply_High Price,0.005271151538538753
Close Price_sum_Open Price,0.009440262155273282
Prev Close Price,0.009702147391576817
Open Price,0.010530939627778069
Close Price_sum_High Price,0.020698808194823053
Close Price_multiply_High Price,0.026871086178405258
Low Price,0.047810025062874226
Close Price,0.126309298241841
