feature,mean_importance
Open Price,-0.00036756315829862275
Prev Close Price,-0.0003016661991823044
Prev Volume,-0.00018164920321090962
Open Price_diff_Low Price,-7.554484469662892e-05
Dividend_ratio_Volume,0.0
Dividend_ratio_Prev Volume,0.0
Dividend,0.0
Dividend_multiply_Low Price,0.0
MA5_ratio_Dividend,0.0
MA20_ratio_MA10,3.2615518455902937e-05
Prev Volume_multiply_Prev Close Price,9.614716867578643e-05
MA10,0.00022641586096290301
High Price,0.00028613989915329265
MA20,0.0002992071668020957
Low Price,0.0002993154690513311
Close Price_ratio_MA5,0.0007431377339835787
MA5,0.000764432389176628
Close Price,0.001049704460457157
Low Price_diff_MA20,0.001136470932070588
Volume,0.0011494345170183883
Low Price_diff_Close Price,0.0020488180052047112
