feature,mean_importance
Low Price_diff_Close Price,-0.00024374012138694834
Prev Volume_multiply_Prev Close Price,-0.00014402921106717592
MA20,-0.00011143100366790559
Low Price_diff_MA20,-0.00010276418199346437
MA20_ratio_MA10,-6.622990063795964e-05
MA5,-3.514614708082231e-05
Dividend,0.0
MA10,0.0
Dividend_multiply_Low Price,0.0
Prev Close Price,0.0
Dividend_ratio_Volume,0.0
MA5_ratio_Dividend,0.0
Low Price,0.0
High Price,0.0
Dividend_ratio_Prev Volume,0.0
Volume,9.125603000008642e-05
Open Price_diff_Low Price,0.0001541695975825652
Close Price,0.00030019211999310347
Prev Volume,0.00034004392217859005
Close Price_ratio_MA5,0.0004358522012840593
Open Price,0.0007614372243718526
