feature,mean_importance
Volume,-7.612508720587305e-05
Dividend,0.0
MA10,5.552140441602606e-06
random_feature,8.132580801136629e-06
Prev Volume,1.7276749156244603e-05
Prev Close Price,2.4234385738428238e-05
MA20,0.00019792790970673944
High Price,0.00030274714758714695
Low Price_multiply_High Price,0.0004777523427582753
MA5,0.0006009075743549435
Dividend_sum_Close Price,0.0009946208826673842
High Price_sum_Open Price,0.0015488785607723108
High Price_multiply_Open Price,0.0018733921161162765
Open Price,0.0026244837077235646
Low Price_sum_High Price,0.0028703049919589075
Close Price_diff_Dividend,0.011513854229653273
Close Price_multiply_High Price,0.012574086103014748
Close Price_multiply_Low Price,0.021738357861013868
Low Price,0.02388581251038246
Close Price_sum_High Price,0.02618067581330284
Close Price,0.0418900113214255
Close Price_sum_Low Price,0.048614664098156936
