feature,mean_importance
High Price_multiply_Open Price,9.585972709713793e-05
Prev Close Price,0.00017511475214304073
MA5,0.00019964085999799145
Low Price_sum_High Price,0.00027515897102312666
Close Price_sum_Low Price,0.00027695648046431685
Dividend_sum_Close Price,0.0003150277215144045
Prev Volume,0.0003228947666440637
MA10,0.0003923034890009853
MA20,0.0005260932928377404
Close Price_diff_Dividend,0.0008240458067921425
Close Price_sum_High Price,0.0008339065931707464
Low Price_multiply_High Price,0.007275879028594145
Close Price_multiply_High Price,0.00882646147018752
High Price_sum_Open Price,0.020184052925450245
Open Price,0.023741432242101755
High Price,0.028493873177552836
Low Price,0.03134599397577489
Close Price,0.04725939039528124
Close Price_multiply_Low Price,0.09177065983804485
