feature,mean_importance
Volume,-7.968130891550588e-06
Dividend,0.0
Prev Close Price,4.9623878650463005e-05
MA10,0.0001246489904097767
High Price_multiply_Open Price,0.0002194667215309096
MA5,0.0002456412673627898
Prev Volume,0.00028599534415489744
MA20,0.0007813588373350149
High Price,0.0011636969128321665
Low Price_sum_High Price,0.0027703867099955213
Open Price,0.003722803811638813
Low Price_multiply_High Price,0.006662245677162221
Low Price,0.009077174170596902
Close Price_sum_Low Price,0.010850575423847257
High Price_sum_Open Price,0.011124756067034391
Close Price_diff_Dividend,0.015020745906053198
Close Price_multiply_High Price,0.01624988308398529
Close Price_sum_High Price,0.02030663765709644
Dividend_sum_Close Price,0.02157012884529296
Close Price_multiply_Low Price,0.02703338133350098
Close Price,0.0304755535859569
