feature,mean_importance
High Price_multiply_Open Price,3.847805069424476e-05
Prev Close Price,0.0001615181558521816
MA10,0.00043545876829357845
Prev Volume,0.0006853654326797462
Low Price_multiply_High Price,0.0008599718106753026
MA5,0.000979557404478079
MA20,0.002001004910585162
Open Price,0.0020604638964904997
Low Price_sum_High Price,0.0022724894551471755
Dividend_sum_Close Price,0.0059310634610250925
Low Price,0.007169853026064802
Close Price_diff_Dividend,0.008355572293468585
Close Price_multiply_Low Price,0.01275559681429229
Close Price,0.012965777386213243
Close Price_sum_High Price,0.018104273159830295
High Price_sum_Open Price,0.018175101653061555
Close Price_multiply_High Price,0.024224645456045343
High Price,0.03153820266353112
Close Price_sum_Low Price,0.03640029798436285
