feature,mean_importance
Volume,-0.0003753177186226475
MA10,-0.0001586471582755822
High Price,-0.0001508967803758088
Dividend_ratio_Volume,-7.527427997384706e-05
Open Price_diff_Low Price,-1.0663316959913515e-05
High Price_ratio_Open Price,1.5708054825624983e-05
Prev Volume,2.2654794213572414e-05
Dividend,7.117648510490682e-05
Dividend_ratio_Prev Volume,7.802845374689227e-05
MA20,0.00012637481105504111
Prev Close Price_ratio_MA5,0.0001491182687520354
Open Price_diff_Close Price,0.00018933241632510534
Prev Close Price,0.00028151053625384835
MA5,0.00031853538145785174
High Price_diff_Low Price,0.0004562629854606648
Low Price,0.000555945928711421
Open Price_ratio_High Price,0.0005657227360323924
Open Price,0.0008074504412714179
Close Price,0.0009215154936824011
MA5_ratio_Prev Close Price,0.0013441159969028505
Low Price_diff_Close Price,0.005383861993143469
