feature,mean_importance
random_feature,-0.0010511587037028924
Prev Close Price_ratio_MA5,-0.0008316347396266632
MA5_ratio_Prev Close Price,-0.0004821071067967253
MA20,-0.0001450960063036799
High Price_diff_Low Price,-0.00013491098945572766
Dividend_ratio_Prev Volume,-8.546645560543187e-05
Open Price,-2.6209262202714357e-05
High Price,-2.4528132366485878e-05
Dividend_ratio_Volume,-8.799301399520232e-06
Dividend,0.0
Open Price_ratio_High Price,1.101904842566448e-05
Prev Close Price,0.00023116306398083264
MA5,0.0002582337659295275
Close Price,0.00039703518084039936
High Price_ratio_Open Price,0.00045363252343664227
Open Price_diff_Low Price,0.0005282985514675209
MA10,0.0006539083479687235
Low Price,0.0009303051754451896
Volume,0.0031430874342116555
Open Price_diff_Close Price,0.0038224682350777917
Prev Volume,0.004917262401650957
Low Price_diff_Close Price,0.006564611384391461
